train_id,axle_index,vehicle_index,t_ref_s,speed_at_ref_mps,load_kN
T1,0,0,100.0,18.0,205.94
T1,1,0,100.125,18.0,205.94
T1,2,0,100.25,18.0,205.94
T1,3,0,100.5333,18.0,205.94
T1,4,0,100.6583,18.0,205.94
T1,5,0,100.7833,18.0,205.94
T1,6,1,100.9444,18.0,57.806
T1,7,1,101.0461,18.0,57.806
T1,8,1,101.4278,18.0,57.806
T1,9,1,101.5294,18.0,57.806
T1,10,2,101.6889,18.0,201.332
T1,11,2,101.7906,18.0,201.332
T1,12,2,102.1722,18.0,201.332
T1,13,2,102.2739,18.0,201.332
T1,14,3,102.4333,18.0,183.067
T1,15,3,102.535,18.0,183.067
T1,16,3,102.9167,18.0,183.067
T1,17,3,103.0183,18.0,183.067
T1,18,4,103.1778,18.0,188.954
T1,19,4,103.2794,18.0,188.954
T1,20,4,103.6611,18.0,188.954
T1,21,4,103.7628,18.0,188.954
T1,22,5,103.9222,18.0,194.694
T1,23,5,104.0239,18.0,194.694
T1,24,5,104.4056,18.0,194.694
T1,25,5,104.5072,18.0,194.694
T1,26,6,104.6667,18.0,57.842
T1,27,6,104.7683,18.0,57.842
T1,28,6,105.15,18.0,57.842
T1,29,6,105.2517,18.0,57.842
T1,30,7,105.4111,18.0,190.991
T1,31,7,105.5128,18.0,190.991
T1,32,7,105.8944,18.0,190.991
T1,33,7,105.9961,18.0,190.991
T1,34,8,106.1556,18.0,209.872
T1,35,8,106.2572,18.0,209.872
T1,36,8,106.6389,18.0,209.872
T1,37,8,106.7406,18.0,209.872
T1,38,9,106.9,18.0,202.512
T1,39,9,107.0017,18.0,202.512
T1,40,9,107.3833,18.0,202.512
T1,41,9,107.485,18.0,202.512
T1,42,10,107.6444,18.0,196.802
T1,43,10,107.7461,18.0,196.802
T1,44,10,108.1278,18.0,196.802
T1,45,10,108.2294,18.0,196.802
T1,46,11,108.3889,18.0,199.832
T1,47,11,108.4906,18.0,199.832
T1,48,11,108.8722,18.0,199.832
T1,49,11,108.9739,18.0,199.832
T1,50,12,109.1333,18.0,189.428
T1,51,12,109.235,18.0,189.428
T1,52,12,109.6167,18.0,189.428
T1,53,12,109.7183,18.0,189.428
T1,54,13,109.8778,18.0,195.741
T1,55,13,109.9794,18.0,195.741
T1,56,13,110.3611,18.0,195.741
T1,57,13,110.4628,18.0,195.741
T1,58,14,110.6222,18.0,197.139
T1,59,14,110.7239,18.0,197.139
T1,60,14,111.1056,18.0,197.139
T1,61,14,111.2072,18.0,197.139
T1,62,15,111.3667,18.0,56.62
T1,63,15,111.4683,18.0,56.62
T1,64,15,111.85,18.0,56.62
T1,65,15,111.9517,18.0,56.62
T1,66,16,112.1111,18.0,197.353
T1,67,16,112.2128,18.0,197.353
T1,68,16,112.5944,18.0,197.353
T1,69,16,112.6961,18.0,197.353
T1,70,17,112.8556,18.0,56.701
T1,71,17,112.9572,18.0,56.701
T1,72,17,113.3389,18.0,56.701
T1,73,17,113.4406,18.0,56.701
T1,74,18,113.6,18.0,59.409
T1,75,18,113.7017,18.0,59.409
T1,76,18,114.0833,18.0,59.409
T1,77,18,114.185,18.0,59.409
T1,78,19,114.3444,18.0,196.446
T1,79,19,114.4461,18.0,196.446
T1,80,19,114.8278,18.0,196.446
T1,81,19,114.9294,18.0,196.446
T1,82,20,115.0889,18.0,59.305
T1,83,20,115.1906,18.0,59.305
T1,84,20,115.5722,18.0,59.305
T1,85,20,115.6739,18.0,59.305
T1,86,21,115.8333,18.0,201.021
T1,87,21,115.935,18.0,201.021
T1,88,21,116.3167,18.0,201.021
T1,89,21,116.4183,18.0,201.021
T1,90,22,116.5778,18.0,202.597
T1,91,22,116.6794,18.0,202.597
T1,92,22,117.0611,18.0,202.597
T1,93,22,117.1628,18.0,202.597
T1,94,23,117.3222,18.0,196.833
T1,95,23,117.4239,18.0,196.833
T1,96,23,117.8056,18.0,196.833
T1,97,23,117.9072,18.0,196.833
T1,98,24,118.0667,18.0,197.537
T1,99,24,118.1683,18.0,197.537
T1,100,24,118.55,18.0,197.537
T1,101,24,118.6517,18.0,197.537
T1,102,25,118.8111,18.0,204.374
T1,103,25,118.9128,18.0,204.374
T1,104,25,119.2944,18.0,204.374
T1,105,25,119.3961,18.0,204.374
T1,106,26,119.5556,18.0,198.568
T1,107,26,119.6572,18.0,198.568
T1,108,26,120.0389,18.0,198.568
T1,109,26,120.1406,18.0,198.568
T1,110,27,120.3,18.0,197.343
T1,111,27,120.4017,18.0,197.343
T1,112,27,120.7833,18.0,197.343
T1,113,27,120.885,18.0,197.343
T1,114,28,121.0444,18.0,56.003
T1,115,28,121.1461,18.0,56.003
T1,116,28,121.5278,18.0,56.003
T1,117,28,121.6294,18.0,56.003
T1,118,29,121.7889,18.0,59.211
T1,119,29,121.8906,18.0,59.211
T1,120,29,122.2722,18.0,59.211
T1,121,29,122.3739,18.0,59.211
T1,122,30,122.5333,18.0,199.911
T1,123,30,122.635,18.0,199.911
T1,124,30,123.0167,18.0,199.911
T1,125,30,123.1183,18.0,199.911
TS,0,0,215.0,10.0,205.94
TS,1,0,215.2255,9.9549,205.94
TS,2,0,215.452,9.9096,205.94
TS,3,0,215.9694,9.8061,205.94
TS,4,0,216.1994,9.7601,205.94
TS,5,0,216.4305,9.7139,205.94
TS,6,1,216.7299,9.654,56.069
TS,7,1,216.9199,9.616,56.069
TS,8,1,217.6397,9.4721,56.069
TS,9,1,217.8333,9.4333,56.069
TS,10,2,218.1385,9.3723,55.792
TS,11,2,218.3342,9.3332,55.792
TS,12,2,219.0761,9.1848,55.792
TS,13,2,219.2758,9.1448,55.792
T2,0,0,380.0,36.0,205.94
T2,1,0,380.0625,36.0,205.94
T2,2,0,380.125,36.0,205.94
T2,3,0,380.2667,36.0,205.94
T2,4,0,380.3292,36.0,205.94
T2,5,0,380.3917,36.0,205.94
T2,6,1,380.4722,36.0,138.594
T2,7,1,380.5389,36.0,142.159
T2,8,1,380.9722,36.0,137.837
T2,9,1,381.0389,36.0,137.504
T2,10,2,381.1806,36.0,139.085
T2,11,2,381.2472,36.0,134.889
T2,12,2,381.6806,36.0,136.174
T2,13,2,381.7472,36.0,135.536
T2,14,3,381.8889,36.0,133.427
T2,15,3,381.9556,36.0,133.526
T2,16,3,382.3889,36.0,138.65
T2,17,3,382.4556,36.0,138.429
T2,18,4,382.5972,36.0,137.525
T2,19,4,382.6639,36.0,136.912
T2,20,4,383.0972,36.0,142.576
T2,21,4,383.1639,36.0,126.871
T2,22,5,383.3056,36.0,140.663
T2,23,5,383.3722,36.0,139.259
T2,24,5,383.8056,36.0,137.174
T2,25,5,383.8722,36.0,138.785
T2,26,6,384.0139,36.0,129.619
T2,27,6,384.0806,36.0,139.983
T2,28,6,384.5139,36.0,137.15
T2,29,6,384.5806,36.0,138.998
T2,30,7,384.7222,36.0,138.68
T2,31,7,384.7889,36.0,133.332
T2,32,7,385.2222,36.0,137.18
T2,33,7,385.2889,36.0,135.996
T2,34,8,385.4306,36.0,130.451
T2,35,8,385.4972,36.0,141.235
T2,36,8,385.9306,36.0,135.659
T2,37,8,385.9972,36.0,137.244
T2,38,9,386.1389,36.0,138.553
T2,39,9,386.2056,36.0,131.701
T2,40,9,386.6389,36.0,140.376
T2,41,9,386.7056,36.0,136.126
T2,42,10,386.8472,36.0,134.537
T2,43,10,386.9139,36.0,142.574
T2,44,10,387.3472,36.0,139.58
T2,45,10,387.4139,36.0,144.045
T2,46,11,387.5556,36.0,138.022
T2,47,11,387.6222,36.0,141.677
T2,48,11,388.0556,36.0,134.96
T2,49,11,388.1222,36.0,145.347
T2,50,12,388.2639,36.0,136.012
T2,51,12,388.3306,36.0,140.479
T2,52,12,388.7639,36.0,137.795
T2,53,12,388.8306,36.0,133.959
T2,54,13,388.9722,36.0,135.376
T2,55,13,389.0389,36.0,139.791
T2,56,13,389.4722,36.0,136.043
T2,57,13,389.5389,36.0,138.222
T2,58,14,389.6806,36.0,136.6
T2,59,14,389.7472,36.0,140.373
T2,60,14,390.1806,36.0,135.916
T2,61,14,390.2472,36.0,137.428
T3,0,0,611.4359,19.5,205.94
T3,1,0,611.5513,19.5,205.94
T3,2,0,611.6667,19.5,205.94
T3,3,0,611.9282,19.5,205.94
T3,4,0,612.0436,19.5,205.94
T3,5,0,612.159,19.5,205.94
T3,6,1,612.3077,19.5,195.844
T3,7,1,612.4015,19.5,195.844
T3,8,1,612.7538,19.5,195.844
T3,9,1,612.8477,19.5,195.844
T3,10,2,612.9949,19.5,56.097
T3,11,2,613.0887,19.5,56.097
T3,12,2,613.441,19.5,56.097
T3,13,2,613.5349,19.5,56.097
T3,14,3,613.6821,19.5,202.334
T3,15,3,613.7759,19.5,202.334
T3,16,3,614.1282,19.5,202.334
T3,17,3,614.2221,19.5,202.334
T3,18,4,614.3692,19.5,195.757
T3,19,4,614.4631,19.5,195.757
T3,20,4,614.8154,19.5,195.757
T3,21,4,614.9092,19.5,195.757
T3,22,5,615.0564,19.5,55.387
T3,23,5,615.1503,19.5,55.387
T3,24,5,615.5026,19.5,55.387
T3,25,5,615.5964,19.5,55.387
T3,26,6,615.7436,19.5,55.349
T3,27,6,615.8374,19.5,55.349
T3,28,6,616.1897,19.5,55.349
T3,29,6,616.2836,19.5,55.349
T3,30,7,616.4308,19.5,195.694
T3,31,7,616.5246,19.5,195.694
T3,32,7,616.8769,19.5,195.694
T3,33,7,616.9708,19.5,195.694
T3,34,8,617.1179,19.5,56.115
T3,35,8,617.2118,19.5,56.115
T3,36,8,617.5641,19.5,56.115
T3,37,8,617.6579,19.5,56.115
T3,38,9,617.8051,19.5,201.953
T3,39,9,617.899,19.5,201.953
T3,40,9,618.2513,19.5,201.953
T3,41,9,618.3451,19.5,201.953
T3,42,10,618.4923,19.5,55.102
T3,43,10,618.5862,19.5,55.102
T3,44,10,618.9385,19.5,55.102
T3,45,10,619.0323,19.5,55.102
T3,46,11,619.1795,19.5,188.546
T3,47,11,619.2733,19.5,188.546
T3,48,11,619.6256,19.5,188.546
T3,49,11,619.7195,19.5,188.546
T3,50,12,619.8667,19.5,58.885
T3,51,12,619.9605,19.5,58.885
T3,52,12,620.3128,19.5,58.885
T3,53,12,620.4067,19.5,58.885
T3,54,13,620.5538,19.5,198.28
T3,55,13,620.6477,19.5,198.28
T3,56,13,621.0,19.5,198.28
T3,57,13,621.0938,19.5,198.28
T3,58,14,621.241,19.5,186.948
T3,59,14,621.3349,19.5,186.948
T3,60,14,621.6872,19.5,186.948
T3,61,14,621.781,19.5,186.948
T3,62,15,621.9282,19.5,58.17
T3,63,15,622.0221,19.5,58.17
T3,64,15,622.3744,19.5,58.17
T3,65,15,622.4682,19.5,58.17
T3,66,16,622.6154,19.5,58.324
T3,67,16,622.7092,19.5,58.324
T3,68,16,623.0615,19.5,58.324
T3,69,16,623.1554,19.5,58.324
T3,70,17,623.3026,19.5,191.925
T3,71,17,623.3964,19.5,191.925
T3,72,17,623.7487,19.5,191.925
T3,73,17,623.8426,19.5,191.925
T3,74,18,623.9897,19.5,190.592
T3,75,18,624.0836,19.5,190.592
T3,76,18,624.4359,19.5,190.592
T3,77,18,624.5297,19.5,190.592
T3,78,19,624.6769,19.5,56.248
T3,79,19,624.7708,19.5,56.248
T3,80,19,625.1231,19.5,56.248
T3,81,19,625.2169,19.5,56.248
T3,82,20,625.3641,19.5,197.067
T3,83,20,625.4579,19.5,197.067
T3,84,20,625.8103,19.5,197.067
T3,85,20,625.9041,19.5,197.067
T3,86,21,626.0513,19.5,55.682
T3,87,21,626.1451,19.5,55.682
T3,88,21,626.4974,19.5,55.682
T3,89,21,626.5913,19.5,55.682
T3,90,22,626.7385,19.5,201.541
T3,91,22,626.8323,19.5,201.541
T3,92,22,627.1846,19.5,201.541
T3,93,22,627.2785,19.5,201.541
T3,94,23,627.4256,19.5,188.528
T3,95,23,627.5195,19.5,188.528
T3,96,23,627.8718,19.5,188.528
T3,97,23,627.9656,19.5,188.528
