Trace1,
Freq,,Amp,,
                   0,Hz,              -92.42, dBm,
               13333,Hz,              -96.65, dBm,
               26666,Hz,              -97.62, dBm,
               39999,Hz,              -99.45, dBm,
               53332,Hz,             -100.91, dBm,
               66665,Hz,             -100.19, dBm,
               79998,Hz,              -98.06, dBm,
               93331,Hz,             -101.87, dBm,
              106664,Hz,             -101.43, dBm,
              119997,Hz,              -93.96, dBm,
              133330,Hz,              -98.44, dBm,
              146663,Hz,              -93.38, dBm,
              159996,Hz,              -98.44, dBm,
              173329,Hz,              -95.02, dBm,
              186662,Hz,              -93.71, dBm,
              199995,Hz,              -96.63, dBm,
              213328,Hz,              -96.87, dBm,
              226661,Hz,              -94.46, dBm,
              239994,Hz,              -98.03, dBm,
              253327,Hz,              -98.03, dBm,
              266660,Hz,             -100.04, dBm,
              279993,Hz,             -102.66, dBm,
              293326,Hz,             -100.67, dBm,
              306659,Hz,              -99.22, dBm,
              319992,Hz,              -99.79, dBm,
              333325,Hz,              -99.62, dBm,
              346658,Hz,              -95.39, dBm,
              359991,Hz,             -102.10, dBm,
              373324,Hz,             -101.26, dBm,
              386657,Hz,              -98.99, dBm,
              399990,Hz,             -105.09, dBm,
              413323,Hz,             -103.41, dBm,
              426656,Hz,              -95.20, dBm,
              439989,Hz,              -94.44, dBm,
              453322,Hz,             -100.42, dBm,
              466655,Hz,              -96.20, dBm,
              479988,Hz,             -102.11, dBm,
              493321,Hz,              -95.77, dBm,
              506654,Hz,              -95.16, dBm,
              519987,Hz,             -101.48, dBm,
              533320,Hz,             -110.24, dBm,
              546653,Hz,              -97.15, dBm,
              559986,Hz,             -101.91, dBm,
              573319,Hz,             -102.02, dBm,
              586652,Hz,             -100.52, dBm,
              599985,Hz,             -105.43, dBm,
              613318,Hz,             -105.76, dBm,
              626651,Hz,             -101.29, dBm,
              639984,Hz,              -98.29, dBm,
              653317,Hz,             -104.38, dBm,
              666650,Hz,              -96.63, dBm,
              679983,Hz,              -99.11, dBm,
              693316,Hz,              -96.40, dBm,
              706649,Hz,              -97.75, dBm,
              719982,Hz,              -95.19, dBm,
              733315,Hz,             -104.68, dBm,
              746648,Hz,              -99.51, dBm,
              759981,Hz,             -103.08, dBm,
              773314,Hz,              -98.89, dBm,
              786647,Hz,              -98.17, dBm,
              799980,Hz,             -101.12, dBm,
              813313,Hz,             -100.37, dBm,
              826646,Hz,             -104.84, dBm,
              839979,Hz,              -94.49, dBm,
              853312,Hz,              -98.03, dBm,
              866645,Hz,             -103.85, dBm,
              879978,Hz,             -101.94, dBm,
              893311,Hz,              -95.00, dBm,
              906644,Hz,              -96.53, dBm,
              919977,Hz,             -101.94, dBm,
              933310,Hz,              -97.64, dBm,
              946643,Hz,              -98.75, dBm,
              959976,Hz,             -102.97, dBm,
              973309,Hz,              -97.90, dBm,
              986642,Hz,              -98.11, dBm,
              999975,Hz,             -104.85, dBm,
             1013308,Hz,             -101.03, dBm,
             1026641,Hz,              -98.90, dBm,
             1039974,Hz,              -94.63, dBm,
             1053307,Hz,             -100.75, dBm,
             1066640,Hz,              -95.93, dBm,
             1079973,Hz,             -102.85, dBm,
             1093306,Hz,             -100.12, dBm,
             1106639,Hz,              -97.71, dBm,
             1119972,Hz,              -93.93, dBm,
             1133305,Hz,             -102.51, dBm,
             1146638,Hz,              -95.46, dBm,
             1159971,Hz,              -97.20, dBm,
             1173304,Hz,              -97.39, dBm,
             1186637,Hz,             -100.57, dBm,
             1199970,Hz,             -104.28, dBm,
             1213303,Hz,             -101.75, dBm,
             1226636,Hz,             -106.69, dBm,
             1239969,Hz,             -101.96, dBm,
             1253302,Hz,              -94.42, dBm,
             1266635,Hz,              -96.96, dBm,
             1279968,Hz,              -96.84, dBm,
             1293301,Hz,             -102.07, dBm,
             1306634,Hz,              -95.27, dBm,
             1319967,Hz,              -95.73, dBm,
             1333300,Hz,              -98.27, dBm,
             1346633,Hz,              -97.34, dBm,
             1359966,Hz,              -94.93, dBm,
             1373299,Hz,             -101.97, dBm,
             1386632,Hz,             -102.64, dBm,
             1399965,Hz,             -104.87, dBm,
