Trace1,
Freq,,Amp,,
            78000000,Hz,             -101.24, dBm,
            78016666,Hz,             -103.01, dBm,
            78033332,Hz,             -108.13, dBm,
            78049998,Hz,             -109.88, dBm,
            78066664,Hz,             -104.97, dBm,
            78083330,Hz,             -102.11, dBm,
            78099996,Hz,             -101.12, dBm,
            78116662,Hz,             -105.06, dBm,
            78133328,Hz,             -100.02, dBm,
            78149994,Hz,             -109.11, dBm,
            78166660,Hz,             -101.73, dBm,
            78183326,Hz,             -106.80, dBm,
            78199992,Hz,             -102.80, dBm,
            78216658,Hz,             -105.54, dBm,
            78233324,Hz,             -104.10, dBm,
            78249990,Hz,             -106.04, dBm,
            78266656,Hz,              -99.97, dBm,
            78283322,Hz,             -101.85, dBm,
            78299988,Hz,             -106.14, dBm,
            78316654,Hz,             -104.97, dBm,
            78333320,Hz,             -107.26, dBm,
            78349986,Hz,             -104.88, dBm,
            78366652,Hz,             -102.45, dBm,
            78383318,Hz,             -100.83, dBm,
            78399984,Hz,             -105.34, dBm,
            78416650,Hz,             -104.18, dBm,
            78433316,Hz,             -104.27, dBm,
            78449982,Hz,             -102.38, dBm,
            78466648,Hz,              -99.81, dBm,
            78483314,Hz,             -102.80, dBm,
            78499980,Hz,             -114.16, dBm,
            78516646,Hz,             -106.36, dBm,
            78533312,Hz,             -110.21, dBm,
            78549978,Hz,             -105.25, dBm,
            78566644,Hz,             -100.66, dBm,
            78583310,Hz,             -105.06, dBm,
            78599976,Hz,             -105.84, dBm,
            78616642,Hz,             -101.98, dBm,
            78633308,Hz,             -107.14, dBm,
            78649974,Hz,             -102.87, dBm,
            78666640,Hz,              -99.67, dBm,
            78683306,Hz,             -106.57, dBm,
            78699972,Hz,             -108.40, dBm,
            78716638,Hz,             -105.06, dBm,
            78733304,Hz,             -107.02, dBm,
            78749970,Hz,             -106.80, dBm,
            78766636,Hz,             -103.31, dBm,
            78783302,Hz,              -99.67, dBm,
            78799968,Hz,             -104.70, dBm,
            78816634,Hz,             -101.48, dBm,
            78833300,Hz,             -103.86, dBm,
            78849966,Hz,             -103.54, dBm,
            78866632,Hz,             -105.84, dBm,
            78883298,Hz,             -106.47, dBm,
            78899964,Hz,             -109.41, dBm,
            78916630,Hz,             -111.08, dBm,
            78933296,Hz,             -104.53, dBm,
            78949962,Hz,             -104.70, dBm,
            78966628,Hz,             -102.45, dBm,
            78983294,Hz,             -105.06, dBm,
            78999960,Hz,             -108.54, dBm,
            79016626,Hz,             -105.16, dBm,
            79033292,Hz,             -103.47, dBm,
            79049958,Hz,             -108.54, dBm,
            79066624,Hz,             -109.56, dBm,
            79083290,Hz,             -103.24, dBm,
            79099956,Hz,             -103.54, dBm,
            79116622,Hz,             -101.01, dBm,
            79133288,Hz,             -108.96, dBm,
            79149954,Hz,              -99.92, dBm,
            79166620,Hz,             -110.55, dBm,
            79183286,Hz,             -102.94, dBm,
            79199952,Hz,             -109.88, dBm,
            79216618,Hz,             -106.36, dBm,
            79233284,Hz,             -110.38, dBm,
            79249950,Hz,             -111.09, dBm,
            79266616,Hz,             -106.15, dBm,
            79283282,Hz,             -109.11, dBm,
            79299948,Hz,             -108.96, dBm,
            79316614,Hz,             -104.44, dBm,
            79333280,Hz,              -96.20, dBm,
            79349946,Hz,             -105.94, dBm,
            79366612,Hz,             -105.16, dBm,
            79383278,Hz,             -110.04, dBm,
            79399944,Hz,             -101.36, dBm,
            79416610,Hz,             -112.27, dBm,
            79433276,Hz,             -110.21, dBm,
            79449942,Hz,             -110.38, dBm,
            79466608,Hz,             -106.15, dBm,
            79483274,Hz,             -108.41, dBm,
            79499940,Hz,             -108.82, dBm,
            79516606,Hz,             -105.84, dBm,
            79533272,Hz,             -107.26, dBm,
            79549938,Hz,             -105.64, dBm,
            79566604,Hz,             -106.80, dBm,
            79583270,Hz,             -103.62, dBm,
            79599936,Hz,             -103.54, dBm,
            79616602,Hz,             -101.73, dBm,
            79633268,Hz,             -101.67, dBm,
            79649934,Hz,             -101.30, dBm,
            79666600,Hz,             -105.54, dBm,
            79683266,Hz,             -102.45, dBm,
            79699932,Hz,             -105.94, dBm,
            79716598,Hz,             -104.62, dBm,
            79733264,Hz,             -108.82, dBm,
            79749930,Hz,             -102.95, dBm,
            79766596,Hz,             -113.40, dBm,
            79783262,Hz,             -105.74, dBm,
            79799928,Hz,             -105.84, dBm,
            79816594,Hz,             -113.40, dBm,
            79833260,Hz,             -105.25, dBm,
            79849926,Hz,             -108.97, dBm,
            79866592,Hz,             -107.75, dBm,
            79883258,Hz,             -113.65, dBm,
            79899924,Hz,             -104.36, dBm,
            79916590,Hz,             -108.97, dBm,
            79933256,Hz,             -104.79, dBm,
            79949922,Hz,             -104.53, dBm,
            79966588,Hz,             -107.26, dBm,
            79983254,Hz,             -107.03, dBm,
            79999920,Hz,             -101.55, dBm,
            80016586,Hz,             -104.02, dBm,
            80033252,Hz,             -100.84, dBm,
            80049918,Hz,             -103.47, dBm,
            80066584,Hz,             -111.09, dBm,
            80083250,Hz,             -108.82, dBm,
            80099916,Hz,             -104.80, dBm,
            80116582,Hz,             -102.25, dBm,
            80133248,Hz,             -101.80, dBm,
            80149914,Hz,             -106.47, dBm,
            80166580,Hz,             -101.67, dBm,
            80183246,Hz,              -99.87, dBm,
            80199912,Hz,             -110.21, dBm,
            80216578,Hz,             -105.74, dBm,
            80233244,Hz,             -104.19, dBm,
            80249910,Hz,             -109.72, dBm,
            80266576,Hz,             -102.39, dBm,
            80283242,Hz,             -105.84, dBm,
            80299908,Hz,             -103.94, dBm,
            80316574,Hz,             -111.47, dBm,
            80333240,Hz,              -99.77, dBm,
            80349906,Hz,             -104.02, dBm,
            80366572,Hz,             -106.15, dBm,
            80383238,Hz,             -102.32, dBm,
            80399904,Hz,             -110.21, dBm,
            80416570,Hz,             -106.92, dBm,
            80433236,Hz,             -103.47, dBm,
            80449902,Hz,             -108.97, dBm,
            80466568,Hz,             -103.63, dBm,
            80483234,Hz,             -105.54, dBm,
            80499900,Hz,             -101.13, dBm,
            80516566,Hz,             -102.52, dBm,
            80533232,Hz,             -108.27, dBm,
            80549898,Hz,             -104.89, dBm,
            80566564,Hz,             -104.53, dBm,
            80583230,Hz,             -105.26, dBm,
            80599896,Hz,             -112.07, dBm,
            80616562,Hz,             -110.05, dBm,
            80633228,Hz,             -104.62, dBm,
            80649894,Hz,             -101.99, dBm,
            80666560,Hz,             -108.01, dBm,
            80683226,Hz,             -104.98, dBm,
            80699892,Hz,             -109.26, dBm,
            80716558,Hz,             -108.69, dBm,
            80733224,Hz,             -105.94, dBm,
            80749890,Hz,             -108.27, dBm,
            80766556,Hz,             -103.71, dBm,
            80783222,Hz,             -108.14, dBm,
            80799888,Hz,             -103.02, dBm,
            80816554,Hz,             -107.03, dBm,
            80833220,Hz,             -103.10, dBm,
            80849886,Hz,             -103.02, dBm,
            80866552,Hz,             -105.07, dBm,
            80883218,Hz,             -115.59, dBm,
            80899884,Hz,             -105.74, dBm,
            80916550,Hz,              -99.05, dBm,
            80933216,Hz,             -102.88, dBm,
            80949882,Hz,             -106.58, dBm,
            80966548,Hz,             -105.45, dBm,
            80983214,Hz,              -98.34, dBm,
            80999880,Hz,             -101.93, dBm,
            81016546,Hz,             -100.67, dBm,
            81033212,Hz,             -102.26, dBm,
            81049878,Hz,              -99.24, dBm,
            81066544,Hz,             -102.19, dBm,
            81083210,Hz,             -105.55, dBm,
            81099876,Hz,              -99.00, dBm,
            81116542,Hz,             -104.19, dBm,
            81133208,Hz,             -117.69, dBm,
            81149874,Hz,             -102.53, dBm,
            81166540,Hz,             -103.95, dBm,
            81183206,Hz,             -113.65, dBm,
            81199872,Hz,             -106.15, dBm,
            81216538,Hz,             -105.74, dBm,
            81233204,Hz,              -97.15, dBm,
            81249870,Hz,             -106.05, dBm,
            81266536,Hz,             -101.80, dBm,
            81283202,Hz,             -105.84, dBm,
            81299868,Hz,             -107.63, dBm,
            81316534,Hz,              -98.17, dBm,
            81333200,Hz,             -106.36, dBm,
            81349866,Hz,             -100.51, dBm,
            81366532,Hz,             -109.27, dBm,
            81383198,Hz,             -107.39, dBm,
            81399864,Hz,             -104.19, dBm,
            81416530,Hz,             -109.12, dBm,
            81433196,Hz,             -100.34, dBm,
            81449862,Hz,             -104.53, dBm,
            81466528,Hz,             -102.88, dBm,
            81483194,Hz,             -103.17, dBm,
            81499860,Hz,             -100.03, dBm,
            81516526,Hz,             -105.65, dBm,
            81533192,Hz,              -99.82, dBm,
            81549858,Hz,              -99.05, dBm,
            81566524,Hz,             -101.80, dBm,
            81583190,Hz,             -109.73, dBm,
            81599856,Hz,              -99.14, dBm,
            81616522,Hz,             -106.15, dBm,
            81633188,Hz,             -108.83, dBm,
            81649854,Hz,             -101.19, dBm,
            81666520,Hz,             -100.67, dBm,
            81683186,Hz,             -106.81, dBm,
            81699852,Hz,             -108.41, dBm,
            81716518,Hz,              -99.98, dBm,
            81733184,Hz,             -101.19, dBm,
            81749850,Hz,             -113.17, dBm,
            81766516,Hz,             -102.74, dBm,
            81783182,Hz,             -103.71, dBm,
            81799848,Hz,             -107.15, dBm,
            81816514,Hz,             -103.10, dBm,
            81833180,Hz,              -97.45, dBm,
            81849846,Hz,             -103.47, dBm,
            81866512,Hz,             -106.69, dBm,
            81883178,Hz,             -106.69, dBm,
            81899844,Hz,             -105.65, dBm,
            81916510,Hz,             -103.47, dBm,
            81933176,Hz,             -100.35, dBm,
            81949842,Hz,             -103.32, dBm,
            81966508,Hz,             -103.63, dBm,
            81983174,Hz,             -100.45, dBm,
            81999840,Hz,             -105.45, dBm,
            82016506,Hz,             -103.87, dBm,
            82033172,Hz,             -104.80, dBm,
            82049838,Hz,             -103.17, dBm,
            82066504,Hz,             -106.48, dBm,
            82083170,Hz,             -106.81, dBm,
            82099836,Hz,             -105.75, dBm,
            82116502,Hz,              -99.05, dBm,
            82133168,Hz,             -105.65, dBm,
            82149834,Hz,             -103.79, dBm,
            82166500,Hz,             -113.91, dBm,
            82183166,Hz,             -103.71, dBm,
            82199832,Hz,             -110.73, dBm,
            82216498,Hz,             -106.48, dBm,
            82233164,Hz,             -103.95, dBm,
            82249830,Hz,             -102.95, dBm,
            82266496,Hz,             -107.04, dBm,
            82283162,Hz,             -110.91, dBm,
            82299828,Hz,             -106.26, dBm,
            82316494,Hz,             -112.07, dBm,
            82333160,Hz,             -102.39, dBm,
            82349826,Hz,              -99.93, dBm,
            82366492,Hz,             -106.59, dBm,
            82383158,Hz,             -103.95, dBm,
            82399824,Hz,             -106.70, dBm,
            82416490,Hz,             -104.20, dBm,
            82433156,Hz,             -108.97, dBm,
            82449822,Hz,             -105.17, dBm,
            82466488,Hz,             -103.32, dBm,
            82483154,Hz,             -104.54, dBm,
            82499820,Hz,             -106.37, dBm,
            82516486,Hz,             -109.27, dBm,
            82533152,Hz,             -109.12, dBm,
            82549818,Hz,             -105.95, dBm,
            82566484,Hz,             -106.48, dBm,
            82583150,Hz,             -116.24, dBm,
            82599816,Hz,             -105.55, dBm,
            82616482,Hz,             -108.55, dBm,
            82633148,Hz,             -107.04, dBm,
            82649814,Hz,             -109.58, dBm,
            82666480,Hz,             -103.25, dBm,
            82683146,Hz,             -103.25, dBm,
            82699812,Hz,             -107.89, dBm,
            82716478,Hz,             -113.17, dBm,
            82733144,Hz,             -106.37, dBm,
            82749810,Hz,             -102.19, dBm,
            82766476,Hz,             -103.48, dBm,
            82783142,Hz,             -110.91, dBm,
            82799808,Hz,             -106.37, dBm,
            82816474,Hz,             -109.42, dBm,
            82833140,Hz,              -99.20, dBm,
            82849806,Hz,             -102.88, dBm,
            82866472,Hz,             -106.37, dBm,
            82883138,Hz,              -99.88, dBm,
            82899804,Hz,             -112.72, dBm,
            82916470,Hz,             -113.17, dBm,
            82933136,Hz,             -105.36, dBm,
            82949802,Hz,             -101.87, dBm,
            82966468,Hz,             -105.08, dBm,
            82983134,Hz,             -110.92, dBm,
            82999800,Hz,             -102.13, dBm,
            83016466,Hz,             -102.00, dBm,
            83033132,Hz,             -102.33, dBm,
            83049798,Hz,             -101.93, dBm,
            83066464,Hz,             -104.45, dBm,
            83083130,Hz,             -107.64, dBm,
            83099796,Hz,             -104.72, dBm,
            83116462,Hz,             -102.46, dBm,
            83133128,Hz,             -105.65, dBm,
            83149794,Hz,             -113.91, dBm,
            83166460,Hz,             -108.83, dBm,
            83183126,Hz,             -104.72, dBm,
            83199792,Hz,             -100.79, dBm,
            83216458,Hz,             -102.19, dBm,
            83233124,Hz,             -102.26, dBm,
            83249790,Hz,             -110.22, dBm,
            83266456,Hz,             -106.37, dBm,
            83283122,Hz,             -104.20, dBm,
            83299788,Hz,             -106.26, dBm,
            83316454,Hz,             -106.16, dBm,
            83333120,Hz,             -102.74, dBm,
            83349786,Hz,             -100.73, dBm,
            83366452,Hz,              -97.61, dBm,
            83383118,Hz,             -102.74, dBm,
            83399784,Hz,             -100.24, dBm,
            83416450,Hz,             -104.63, dBm,
            83433116,Hz,             -104.37, dBm,
            83449782,Hz,              -97.01, dBm,
            83466448,Hz,             -102.20, dBm,
            83483114,Hz,             -103.18, dBm,
            83499780,Hz,             -105.75, dBm,
            83516446,Hz,             -101.50, dBm,
            83533112,Hz,             -107.89, dBm,
            83549778,Hz,             -103.79, dBm,
            83566444,Hz,             -104.99, dBm,
            83583110,Hz,             -103.33, dBm,
            83599776,Hz,             -110.39, dBm,
            83616442,Hz,              -99.01, dBm,
            83633108,Hz,             -110.74, dBm,
            83649774,Hz,             -102.13, dBm,
            83666440,Hz,             -115.29, dBm,
            83683106,Hz,             -105.75, dBm,
            83699772,Hz,             -102.33, dBm,
            83716438,Hz,             -108.02, dBm,
            83733104,Hz,              -97.19, dBm,
            83749770,Hz,             -100.96, dBm,
            83766436,Hz,             -104.54, dBm,
            83783102,Hz,             -103.56, dBm,
            83799768,Hz,             -100.30, dBm,
            83816434,Hz,             -106.37, dBm,
            83833100,Hz,             -111.67, dBm,
            83849766,Hz,             -101.50, dBm,
            83866432,Hz,             -110.22, dBm,
            83883098,Hz,             -102.53, dBm,
            83899764,Hz,             -104.63, dBm,
            83916430,Hz,             -103.40, dBm,
            83933096,Hz,              -97.62, dBm,
            83949762,Hz,              -98.97, dBm,
            83966428,Hz,             -102.13, dBm,
            83983094,Hz,             -103.72, dBm,
            83999760,Hz,             -112.50, dBm,
            84016426,Hz,             -103.48, dBm,
            84033092,Hz,             -102.47, dBm,
            84049758,Hz,              -98.79, dBm,
            84066424,Hz,             -114.17, dBm,
            84083090,Hz,             -104.54, dBm,
            84099756,Hz,             -104.46, dBm,
            84116422,Hz,             -106.48, dBm,
            84133088,Hz,             -105.85, dBm,
            84149754,Hz,             -106.06, dBm,
            84166420,Hz,             -107.64, dBm,
            84183086,Hz,             -108.15, dBm,
            84199752,Hz,             -102.96, dBm,
            84216418,Hz,              -98.48, dBm,
            84233084,Hz,             -111.87, dBm,
            84249750,Hz,             -107.89, dBm,
            84266416,Hz,             -108.02, dBm,
            84283082,Hz,             -111.87, dBm,
            84299748,Hz,             -103.11, dBm,
            84316414,Hz,             -107.16, dBm,
            84333080,Hz,             -105.08, dBm,
            84349746,Hz,             -101.68, dBm,
            84366412,Hz,             -102.89, dBm,
            84383078,Hz,             -102.47, dBm,
            84399744,Hz,              -93.89, dBm,
            84416410,Hz,             -105.27, dBm,
            84433076,Hz,             -101.20, dBm,
