PPTrace1,
Freq,,Amp,,
                   0,Hz,               -5.68, dBm,
               13333,Hz,              -44.79, dBm,
               26666,Hz,              -45.67, dBm,
               39999,Hz,              -43.79, dBm,
               53332,Hz,              -44.18, dBm,
               66665,Hz,              -45.67, dBm,
               79998,Hz,              -44.94, dBm,
               93331,Hz,              -44.18, dBm,
              106664,Hz,              -45.34, dBm,
              119997,Hz,              -42.91, dBm,
              133330,Hz,              -42.68, dBm,
              146663,Hz,              -44.91, dBm,
              159996,Hz,              -40.92, dBm,
              173329,Hz,              -44.55, dBm,
              186662,Hz,              -40.95, dBm,
              199995,Hz,              -42.12, dBm,
              213328,Hz,              -43.12, dBm,
              226661,Hz,              -43.76, dBm,
              239994,Hz,              -43.25, dBm,
              253327,Hz,              -43.21, dBm,
              266660,Hz,              -41.90, dBm,
              279993,Hz,              -45.54, dBm,
              293326,Hz,              -43.21, dBm,
              306659,Hz,              -42.78, dBm,
              319992,Hz,              -42.61, dBm,
              333325,Hz,              -40.57, dBm,
              346658,Hz,              -40.99, dBm,
              359991,Hz,              -42.14, dBm,
              373324,Hz,              -41.93, dBm,
              386657,Hz,              -41.61, dBm,
              399990,Hz,              -40.96, dBm,
              413323,Hz,              -38.59, dBm,
              426656,Hz,              -41.64, dBm,
              439989,Hz,              -40.29, dBm,
              453322,Hz,              -38.63, dBm,
              466655,Hz,              -38.71, dBm,
              479988,Hz,              -37.97, dBm,
              493321,Hz,              -39.24, dBm,
              506654,Hz,              -36.33, dBm,
              519987,Hz,              -36.65, dBm,
              533320,Hz,              -36.31, dBm,
              546653,Hz,              -36.17, dBm,
              559986,Hz,              -33.25, dBm,
              573319,Hz,              -36.82, dBm,
              586652,Hz,              -34.10, dBm,
              599985,Hz,              -35.93, dBm,
              613318,Hz,              -38.49, dBm,
              626651,Hz,              -36.82, dBm,
              639984,Hz,              -40.90, dBm,
              653317,Hz,              -40.19, dBm,
              666650,Hz,              -39.84, dBm,
              679983,Hz,              -40.73, dBm,
              693316,Hz,              -43.26, dBm,
              706649,Hz,              -41.14, dBm,
              719982,Hz,              -42.55, dBm,
              733315,Hz,              -42.90, dBm,
              746648,Hz,              -44.40, dBm,
              759981,Hz,              -45.18, dBm,
              773314,Hz,              -46.45, dBm,
              786647,Hz,              -44.78, dBm,
              799980,Hz,              -48.30, dBm,
              813313,Hz,              -47.05, dBm,
              826646,Hz,              -46.77, dBm,
              839979,Hz,              -45.86, dBm,
              853312,Hz,              -46.98, dBm,
              866645,Hz,              -46.87, dBm,
              879978,Hz,              -49.10, dBm,
              893311,Hz,              -49.32, dBm,
              906644,Hz,              -50.06, dBm,
              919977,Hz,              -50.36, dBm,
              933310,Hz,              -51.07, dBm,
              946643,Hz,              -51.37, dBm,
              959976,Hz,              -48.93, dBm,
              973309,Hz,              -51.39, dBm,
              986642,Hz,              -52.65, dBm,
              999975,Hz,              -53.10, dBm,
             1013308,Hz,              -52.25, dBm,
             1026641,Hz,              -52.30, dBm,
             1039974,Hz,              -54.31, dBm,
             1053307,Hz,              -50.39, dBm,
             1066640,Hz,              -53.38, dBm,
             1079973,Hz,              -53.47, dBm,
             1093306,Hz,              -54.79, dBm,
             1106639,Hz,              -52.70, dBm,
             1119972,Hz,              -53.85, dBm,
             1133305,Hz,              -52.50, dBm,
             1146638,Hz,              -55.03, dBm,
             1159971,Hz,              -54.40, dBm,
             1173304,Hz,              -56.39, dBm,
             1186637,Hz,              -55.39, dBm,
             1199970,Hz,              -56.66, dBm,
