Trace1,
Freq,,Amp,,
            78000000,Hz,              -85.80, dBm,
            78016666,Hz,              -82.23, dBm,
            78033332,Hz,              -82.80, dBm,
            78049998,Hz,              -77.70, dBm,
            78066664,Hz,              -85.84, dBm,
            78083330,Hz,              -81.41, dBm,
            78099996,Hz,              -88.72, dBm,
            78116662,Hz,              -89.35, dBm,
            78133328,Hz,              -78.12, dBm,
            78149994,Hz,              -83.12, dBm,
            78166660,Hz,              -80.73, dBm,
            78183326,Hz,              -75.98, dBm,
            78199992,Hz,              -84.01, dBm,
            78216658,Hz,              -79.48, dBm,
            78233324,Hz,              -80.42, dBm,
            78249990,Hz,              -76.01, dBm,
            78266656,Hz,              -77.82, dBm,
            78283322,Hz,              -75.81, dBm,
            78299988,Hz,              -77.19, dBm,
            78316654,Hz,              -77.93, dBm,
            78333320,Hz,              -79.10, dBm,
            78349986,Hz,              -79.74, dBm,
            78366652,Hz,              -75.03, dBm,
            78383318,Hz,              -75.54, dBm,
            78399984,Hz,              -78.86, dBm,
            78416650,Hz,              -76.68, dBm,
            78433316,Hz,              -58.04, dBm,
            78449982,Hz,              -81.24, dBm,
            78466648,Hz,              -79.33, dBm,
            78483314,Hz,              -72.78, dBm,
            78499980,Hz,              -78.33, dBm,
            78516646,Hz,              -75.54, dBm,
            78533312,Hz,              -80.53, dBm,
            78549978,Hz,              -70.45, dBm,
            78566644,Hz,              -83.71, dBm,
            78583310,Hz,              -82.68, dBm,
            78599976,Hz,              -82.94, dBm,
            78616642,Hz,              -72.01, dBm,
            78633308,Hz,              -78.00, dBm,
            78649974,Hz,              -76.62, dBm,
            78666640,Hz,              -77.91, dBm,
            78683306,Hz,              -80.19, dBm,
            78699972,Hz,              -77.80, dBm,
            78716638,Hz,              -74.17, dBm,
            78733304,Hz,              -77.34, dBm,
            78749970,Hz,              -80.39, dBm,
            78766636,Hz,              -74.10, dBm,
            78783302,Hz,              -81.45, dBm,
            78799968,Hz,              -73.66, dBm,
            78816634,Hz,              -75.94, dBm,
            78833300,Hz,              -72.37, dBm,
            78849966,Hz,              -70.24, dBm,
            78866632,Hz,              -75.91, dBm,
            78883298,Hz,              -80.70, dBm,
            78899964,Hz,              -74.33, dBm,
            78916630,Hz,              -72.85, dBm,
            78933296,Hz,              -72.52, dBm,
            78949962,Hz,              -73.70, dBm,
            78966628,Hz,              -73.48, dBm,
            78983294,Hz,              -69.88, dBm,
            78999960,Hz,              -73.88, dBm,
            79016626,Hz,              -72.00, dBm,
            79033292,Hz,              -69.64, dBm,
            79049958,Hz,              -73.10, dBm,
            79066624,Hz,              -72.12, dBm,
            79083290,Hz,              -77.55, dBm,
            79099956,Hz,              -69.53, dBm,
            79116622,Hz,              -68.47, dBm,
            79133288,Hz,              -69.84, dBm,
            79149954,Hz,              -79.84, dBm,
            79166620,Hz,              -74.72, dBm,
            79183286,Hz,              -65.79, dBm,
            79199952,Hz,              -69.36, dBm,
            79216618,Hz,              -66.62, dBm,
            79233284,Hz,              -67.50, dBm,
            79249950,Hz,              -66.38, dBm,
            79266616,Hz,              -67.27, dBm,
            79283282,Hz,              -63.96, dBm,
            79299948,Hz,              -69.29, dBm,
            79316614,Hz,              -71.95, dBm,
            79333280,Hz,              -67.70, dBm,
            79349946,Hz,              -61.96, dBm,
            79366612,Hz,              -62.65, dBm,
            79383278,Hz,              -75.56, dBm,
            79399944,Hz,              -72.25, dBm,
            79416610,Hz,              -62.75, dBm,
